TS,IT,IH,OT,OH,HP
25,18.6722,42.3600,-5.5889,84.8000,28.8438
26,18.8667,42.1400,-5.7833,82.0000,27.3138
27,18.9167,41.4500,-6.0389,81.8000,30.4088
28,18.7778,41.4700,-6.2444,81.8000,30.4088
29,18.6778,41.0800,-6.4889,85.1000,30.4088
30,18.8222,40.9700,-6.9222,83.7000,30.3463
31,18.8611,41.1500,-7.3389,81.6000,34.2213
32,18.7500,40.6700,-7.6056,82.1000,34.2213
33,18.6389,40.5800,-7.7111,82.3000,34.2213
34,18.7889,40.6900,-7.6333,82.8000,34.2213
35,18.9889,40.4300,-7.6833,81.8000,36.0638
36,18.8278,41.1100,-7.7611,81.7000,38.1575
37,18.9278,40.6500,-7.7167,82.2000,38.1263
38,18.8556,40.5200,-7.7444,81.8000,38.1888
39,19.0667,39.9500,-7.9111,81.6000,32.3138
40,18.8611,39.5400,-8.0278,81.8000,30.2513
41,18.7556,39.8300,-8.2833,80.3000,30.2513
42,18.9222,39.8800,-8.2333,79.9300,30.2813
43,18.8222,39.4400,-8.2889,79.8900,26.2513
44,18.8278,39.1700,-8.5556,78.5000,26.2200
45,18.6833,39.2400,-8.7500,76.0300,26.2513
46,18.9000,38.8300,-9.4833,75.0800,26.0638
47,18.8500,38.7600,-9.8944,74.2100,26.0638
48,18.9056,38.5700,-9.1389,71.6800,26.0950
49,19.0500,38.2600,-9.1222,69.2300,26.0638
50,19.1556,38.2800,-9.0111,66.6900,25.7513
51,19.3278,37.7800,-9.4333,66.1300,25.7188
52,19.0778,37.7200,-9.5833,67.2300,25.7188
53,19.0333,38.0300,-9.4000,67.0000,25.7188
54,19.2889,38.2700,-9.2000,64.2800,25.6263
55,19.4556,38.6000,-9.4167,62.2100,25.5638
56,19.0389,39.0100,-10.0333,62.7900,25.5638
57,18.9611,39.1100,-11.2167,62.5200,25.5638
58,19.5833,38.7100,-11.3722,59.5700,27.4063
59,19.9500,38.4700,-10.8444,58.0700,28.5013
60,19.8111,38.4600,-10.3222,60.3300,28.4700
61,20.2111,38.1300,-9.8444,55.1500,28.5013
62,20.4167,37.2300,-10.3056,53.7200,28.3463
63,20.9389,35.7100,-10.3056,51.2300,32.5338
64,20.8056,35.4000,-10.3778,53.5200,32.5650
65,20.7278,35.7900,-10.7611,52.6700,32.5338
66,20.9667,36.0100,-11.1944,53.6300,31.3463
67,21.1778,36.0100,-11.0722,53.8800,30.3463
68,20.8444,36.0900,-11.2111,53.6300,30.3150
69,20.7222,36.1500,-11.4611,53.1700,30.3150
70,20.6889,36.4300,-11.6722,51.2400,30.0325
71,20.6111,36.4700,-11.7667,50.8800,34.9375
72,20.1278,36.6100,-12.1056,50.8200,37.0013
73,19.8389,36.4400,-12.2722,52.8700,37.0325
74,19.8611,36.6000,-12.4556,55.2300,36.4700
75,19.9056,37.2800,-12.7778,56.5600,36.1275
76,19.9611,36.9700,-13.0944,59.3000,42.2525
77,19.8167,36.4900,-13.4161,54.3100,42.2525
78,19.4778,36.1400,-13.6444,54.5400,42.2850
79,19.7500,35.6100,-13.8639,58.4700,42.6275
80,19.9000,35.5200,-14.0333,61.3600,46.4400
81,19.9667,34.8400,-14.1850,60.8600,46.4400
82,19.9111,35.0200,-14.3000,62.7700,46.7525
83,19.8500,35.0200,-14.4178,64.4300,46.8150
84,19.8889,35.2500,-14.4989,65.2700,50.8450
85,19.9778,35.2600,-14.6039,66.5400,50.8138
86,19.4389,35.2900,-14.6333,65.8600,51.9063
87,19.7667,34.9300,-14.6650,66.0900,53.6563
88,20.1944,34.3300,-14.7728,66.6900,54.9688
89,20.2500,33.8700,-14.9150,68.1500,54.9688
90,19.7000,34.3800,-14.8950,68.7400,54.5013
91,19.5333,35.1300,-14.9244,69.2100,53.7763
92,19.9556,34.9100,-15.0694,70.7600,53.6838
93,19.6778,34.5800,-15.1594,71.1000,53.7150
94,19.9833,34.1600,-15.2000,70.4600,53.8400
95,20.0722,33.9400,-15.2233,69.6900,54.6650
96,19.9500,34.3500,-15.3283,72.1200,42.5700
1,19.9111,34.4700,-15.2594,70.7500,42.5700
2,20.0000,34.3200,-15.3083,69.7800,42.9125
3,19.8500,33.8800,-15.4383,70.4400,42.4375
4,19.9278,34.0600,-15.3989,71.4700,39.5325
5,19.8000,33.9200,-15.3878,72.4700,39.5013
6,19.4000,33.7700,-15.3922,72.4500,38.5338
7,19.8333,33.1400,-15.4739,73.0800,32.0963
8,19.8889,33.0200,-15.6183,71.8200,29.8450
9,19.8556,32.8400,-15.7572,71.0800,29.8763
10,19.3389,32.8400,-15.8900,68.1800,30.2513
11,19.7444,32.3000,-16.0406,65.6800,30.0338
12,20.1556,31.8100,-16.1744,63.1600,30.0650
13,20.0611,31.4800,-16.3789,63.2900,30.0338
14,19.4389,31.8400,-16.5228,63.2800,29.5638
15,19.7722,31.4900,-16.6406,63.8100,25.7813
16,19.9722,31.5700,-16.7217,64.3400,25.7813
17,19.8889,31.2600,-16.7850,64.5400,25.8125
18,19.6333,31.3900,-16.7944,64.5800,25.1575
19,19.8833,30.7900,-16.8717,65.9800,24.4700
20,19.8944,30.9500,-17.0550,67.6100,24.4700
21,20.0167,31.1000,-17.2122,68.6200,24.4388
22,19.2111,31.4400,-17.2589,69.3900,24.8138
23,19.5444,31.0000,-17.3239,69.9000,25.1263
24,20.0333,30.4400,-17.4472,71.4600,25.1263
25,20.1556,30.0900,-17.5244,71.8500,25.1263
26,20.3944,30.1300,-17.7167,74.3500,24.9688
27,20.3167,29.9900,-17.8650,76.5800,28.5638
28,20.4167,29.9700,-17.8922,77.7600,28.5638
29,19.7556,30.3400,-17.9150,77.5700,28.5638
30,19.5722,30.2800,-17.9067,78.6100,28.3138
31,19.6333,29.6000,-17.8656,78.9200,31.8138
32,19.9444,29.3400,-17.8361,78.6500,31.7825
33,19.9389,29.0900,-17.8589,79.0100,31.8138
34,20.0278,29.1300,-17.8478,80.1000,32.2838
35,20.0278,29.6400,-17.7150,79.1300,34.5013
36,20.1944,30.1400,-17.6011,76.8300,36.5650
37,19.8667,30.7700,-17.4950,75.2700,36.5338
38,20.0500,30.6200,-17.4178,74.6700,36.5338
39,19.4222,30.2200,-17.3039,73.1900,31.2213
40,19.9222,30.1800,-17.1089,71.0300,29.1575
41,19.9333,29.7900,-16.8839,68.7800,29.1888
42,19.9389,29.6300,-15.4772,62.2800,30.1563
43,19.7667,29.8400,-14.8222,59.1800,26.9063
44,20.1333,29.8700,-14.1083,58.2400,26.9375
45,19.9944,29.9000,-13.2944,55.6400,26.9063
46,19.8889,29.8500,-13.1111,55.2800,27.2188
47,20.2333,29.5100,-13.1389,54.5800,27.5638
48,20.2167,29.5200,-12.9667,53.7100,27.5638
49,20.2778,29.3400,-12.6722,52.2100,27.5638
50,20.3667,29.4100,-12.6056,52.1200,28.1263
51,20.5056,29.5000,-12.4278,50.9700,28.3138
52,20.5722,29.6100,-12.4722,53.2600,28.3138
53,20.6278,29.6100,-11.6333,51.7600,28.3138
54,20.7667,29.9900,-11.3556,49.1000,28.6888
55,21.0778,30.4100,-10.5000,50.2400,29.0313
56,21.0056,30.4200,-10.0722,48.9700,29.0000
57,21.0722,30.4300,-10.8444,47.8500,29.0313
58,21.2222,30.4800,-10.5556,49.0000,29.3763
59,21.2000,30.9300,-9.9611,50.2400,29.3463
60,20.7944,31.0300,-9.7333,46.6200,29.3775
61,20.8722,30.7600,-9.6000,47.0000,29.3463
62,20.9944,31.2000,-9.2222,49.0000,29.1263
63,20.9722,31.4900,-9.1500,46.6900,33.5013
64,20.7778,31.5800,-8.6556,48.6800,33.5013
65,20.7444,31.7700,-9.2444,48.6000,33.5013
66,20.8556,31.8700,-9.5333,52.4200,33.7513
67,20.9778,31.9600,-9.5889,51.6300,33.8138
68,20.6333,32.0100,-9.2389,50.8800,33.8138
69,20.5444,32.0900,-9.4556,50.5600,33.8138
70,20.7000,32.2000,-8.8611,51.9900,33.0338
71,20.6444,32.1600,-8.9222,50.2800,38.4138
72,20.1556,32.1100,-9.1278,50.5100,40.6963
73,20.0222,31.9300,-9.2667,51.5800,40.7275
74,20.3000,33.0900,-9.4111,52.0100,40.0075
75,20.3333,33.4500,-9.4222,54.1100,39.6575
76,20.3167,32.8800,-9.5722,54.4200,46.6875
77,19.8778,32.8300,-9.6611,55.8700,46.6563
78,19.8667,32.7900,-9.7556,56.7100,47.1888
79,20.0833,32.6600,-9.9111,59.1600,47.7638
80,20.1944,32.4800,-10.0944,62.2400,52.1713
81,20.0500,32.3500,-10.2056,62.3800,52.1713
82,20.3278,32.1000,-10.4778,66.1900,51.9213
83,20.4000,32.2100,-10.6167,68.3200,51.5963
84,20.4556,32.2400,-10.5889,68.3000,55.7213
85,20.1833,32.3200,-10.7500,70.0800,55.7213
86,20.0611,32.4100,-10.9778,73.1400,55.8463
87,20.4333,32.2700,-11.1333,77.1700,56.2213
88,20.3500,32.4300,-11.2056,78.5400,56.4388
89,20.1500,32.3700,-11.3667,80.6000,56.4388
90,20.4389,32.0800,-11.4833,82.2000,56.6888
91,20.3333,32.9500,-11.6056,83.5000,56.5638
92,20.2611,33.1100,-11.7111,84.3000,56.3463
93,20.0111,33.0100,-11.8556,85.9000,56.3463
94,20.0167,32.8000,-12.0833,86.6000,56.0638
95,20.1056,32.9500,-12.1944,87.6000,56.0888
96,20.0722,32.9400,-12.3611,88.4000,43.4013
1,19.9389,32.8000,-12.5167,89.0000,43.4013
2,20.1056,32.1800,-12.5889,89.7000,43.5888
3,20.0889,32.2100,-12.7389,90.2000,43.5138
4,20.1444,32.2200,-12.8333,90.7000,40.7013
5,20.0278,32.0800,-12.8889,90.5000,40.7013
6,19.7722,32.0100,-12.9944,90.8000,39.8588
7,19.9889,31.8000,-13.0389,91.4000,33.1288
8,20.3111,31.6500,-13.1222,91.4000,30.7525
9,20.2833,31.0900,-13.2389,91.3000,30.7838
10,19.9944,31.4500,-13.3000,91.3000,30.8138
11,20.2889,31.1600,-13.3056,91.2000,30.8763
12,20.2556,31.0200,-13.2722,91.3000,30.9075
13,20.2556,30.9300,-13.2944,91.1000,30.8763
14,20.0278,30.7300,-13.3678,91.4000,30.9713
15,20.0389,30.7200,-13.3467,90.9000,26.9088
16,20.1500,30.5700,-13.3644,90.9000,26.9088
17,20.1889,30.0100,-13.4283,91.2000,26.9400
18,19.7667,30.3100,-13.3728,91.0000,25.3775
19,20.0444,30.0400,-13.4483,90.9000,24.4700
20,20.0278,30.2800,-13.5067,90.9000,24.4388
21,19.2833,30.7100,-13.4794,91.3000,24.4388
22,19.8278,30.1100,-13.5417,91.1000,25.4688
23,19.9944,29.3100,-13.5456,91.3000,26.0638
24,20.3278,28.9800,-13.4928,91.3000,26.0638
25,20.3389,28.7000,-13.4767,91.3000,26.0638
26,20.3444,28.6400,-13.3944,91.2000,25.6888
27,20.2889,28.9900,-13.4217,91.4000,29.3138
28,20.2833,29.3000,-13.3983,91.4000,29.3138
29,19.9333,29.4100,-13.3056,91.4000,29.3138
30,19.7611,29.5000,-13.2611,91.6000,28.6263
31,19.8444,29.4300,-13.2444,91.5000,32.0938
32,20.1278,29.2800,-13.1667,91.8000,32.1250
33,19.7667,29.1200,-13.0111,91.6000,32.0938
34,20.1556,28.9400,-12.9778,91.3000,33.0938
35,20.0111,29.5200,-12.8833,90.3000,35.8138
36,20.3500,30.0300,-12.9000,89.9000,37.9713
37,20.1278,29.8400,-12.9667,90.1000,38.0025
38,20.3333,29.7800,-12.7667,89.2000,37.8475
39,20.2222,29.9600,-12.7056,89.4000,31.8775
40,20.2167,30.1400,-12.3056,88.9000,29.7200
41,20.0278,30.2200,-11.7722,88.2000,29.6888
42,19.9722,30.0400,-9.3944,81.1000,31.3138
43,20.1778,29.6200,-7.9833,71.6400,28.4088
44,20.3944,29.6700,-7.0444,67.5100,28.4088
45,20.2389,29.7100,-6.2722,63.7100,28.4088
46,20.3667,29.6600,-5.7444,61.2800,28.6888
47,20.6389,29.5800,-5.4778,59.2700,28.8138
48,20.5722,29.6400,-4.6556,56.6300,28.7825
49,20.5667,29.6800,-4.5833,55.3500,28.8138
50,20.7611,29.8500,-3.5944,51.3300,29.0963
51,20.9611,29.9800,-3.0556,51.5600,29.3463
52,20.6222,30.2300,-3.0056,51.3900,29.3775
53,20.6111,30.3200,-2.9222,51.8200,29.3775
54,20.9778,31.1600,-1.7889,48.3100,29.9700
55,21.2278,31.5300,-1.2667,47.9900,30.1575
56,20.7944,31.6500,-1.5111,47.6100,30.1263
57,20.6833,31.7000,-1.1222,47.3500,30.1263
58,20.9444,31.7800,-1.0778,46.5300,29.9713
59,21.0167,31.6700,-0.7778,47.0900,30.0013
60,20.6222,31.6700,-0.5000,45.7900,30.0013
61,20.5000,31.7700,-0.3611,47.0800,30.0013
62,20.9056,32.0300,0.4722,44.6800,30.1563
63,21.2944,32.0300,1.1778,44.0500,34.7513
64,21.2167,32.1400,1.0944,42.6000,34.7825
65,21.0778,32.6800,1.5444,41.0200,34.7513
66,21.1500,32.9700,1.2333,42.2400,34.8763
67,21.1278,33.0800,1.0722,40.8400,34.9688
68,20.6667,33.2800,1.3556,38.9200,34.9688
69,20.5389,33.4400,1.4278,39.3500,34.9688
70,20.7278,33.6000,1.5944,38.5900,34.2513
71,20.8333,33.6600,1.5667,38.5600,39.3763
72,20.3556,33.7300,1.4278,39.5200,41.7513
73,20.2167,33.7100,1.2222,42.7300,41.7825
74,20.6222,34.4900,0.8667,46.5100,41.2500
75,21.0167,35.1100,0.4000,52.7900,41.2500
76,20.7444,34.6900,-0.3389,57.8000,48.3450
77,20.4778,34.7200,-0.8778,62.7400,48.3450
78,20.2611,34.8600,-1.6056,64.4800,48.0650
79,20.3333,34.9000,-2.0056,68.4300,47.4150
80,20.2389,34.8600,-2.1556,69.2800,51.6325
81,20.0000,34.5900,-2.5278,73.7500,51.6325
82,20.3889,34.2600,-2.7056,75.0700,51.9450
83,20.6778,34.2200,-2.6667,73.7200,52.7450
84,20.6667,34.2300,-2.6500,72.7400,57.4025
85,20.2222,34.2400,-2.7500,74.6900,57.4025
86,20.5722,34.1100,-2.7278,73.3800,57.6200
87,20.8667,34.4700,-2.8000,73.8200,57.9450
88,20.9278,34.7100,-3.1278,77.9200,58.3200
89,20.4500,34.8600,-3.3778,79.1600,58.2888
90,20.5722,34.9200,-3.5167,79.7200,58.5088
91,20.6833,35.9600,-3.6778,81.6000,58.3838
92,20.7333,36.1000,-3.7333,81.9000,58.4138
93,20.3500,35.8200,-3.8278,81.7000,58.4138
94,20.5889,35.8600,-3.8056,82.2000,58.6013
95,20.7944,36.0900,-3.7556,83.3000,59.2263
96,20.8056,36.0000,-3.6444,83.7000,45.9463
1,20.2889,35.9300,-3.5722,83.1000,45.9463
2,20.5611,35.9100,-3.3667,81.4000,45.7888
3,20.7389,35.6700,-3.3944,82.4000,45.4638
4,20.4444,35.5900,-3.3389,83.3000,42.4313
5,20.2500,35.5500,-3.3444,83.9000,42.4625
6,20.5333,35.5200,-3.3611,84.0000,41.7125
7,20.7500,35.4000,-3.3444,84.0000,34.9375
8,20.4778,35.4000,-3.2278,81.9000,32.5000
9,20.3056,35.2200,-3.3000,83.5000,32.4688
10,20.5222,35.0900,-3.3889,84.0000,32.6888
11,20.7000,35.1000,-3.5444,86.2000,32.6263
12,20.3722,35.0800,-3.7444,87.3000,32.5950
13,20.3500,35.0000,-3.8611,88.2000,32.6263
14,20.5000,34.9100,-3.9333,87.4000,32.4688
15,20.6611,34.8200,-4.0500,87.1000,28.2188
16,20.3611,34.7600,-4.0444,87.5000,28.2500
17,20.3556,34.6800,-3.9278,86.5000,28.2188
18,20.5667,34.6200,-4.0333,86.6000,28.2188
19,20.7278,34.5700,-3.9778,86.2000,28.0313
20,20.4500,34.6000,-4.1333,86.9000,28.0313
21,20.3778,34.5700,-4.4444,88.6000,28.0313
22,20.5556,34.4100,-4.5000,89.3000,28.9063
23,20.5833,34.3800,-4.3944,90.2000,29.6888
24,20.2278,34.3400,-4.1333,89.0000,29.6888
25,20.2500,34.1500,-4.1278,89.1000,29.7200
26,20.4944,33.8700,-4.0722,88.8000,29.9700
27,20.6167,33.7900,-4.2667,88.1000,34.1250
28,20.4111,33.7500,-4.5389,88.8000,34.0938
29,20.1111,34.0800,-4.5444,89.5000,34.0938
30,20.4111,33.9600,-4.6556,90.0000,32.9388
31,20.7056,33.5800,-4.9389,90.4000,36.5013
32,20.5333,33.2900,-5.2222,91.2000,36.5325
33,20.2611,33.1400,-5.3778,92.1000,36.5013
34,20.5500,32.9800,-5.4444,92.5000,36.9063
35,20.8278,34.2300,-5.3611,92.7000,39.5563
36,20.5333,34.6100,-5.1333,92.2000,42.0563
37,20.3056,34.6300,-5.0778,91.2000,42.0875
38,20.4000,34.6600,-5.1889,90.9000,42.1825
39,20.5611,34.5700,-5.1944,91.6000,35.7200
40,20.3278,34.7300,-4.9667,91.0000,33.1888
41,20.2667,34.6800,-4.3611,90.1000,33.1888
42,20.5111,34.6200,-3.0444,87.6000,33.3438
43,20.6111,34.5600,-1.4278,81.1000,29.0938
44,20.3667,34.6400,1.3333,60.9500,29.1250
45,20.3611,34.6800,2.0500,53.7300,29.0938
46,20.6167,34.8000,2.4056,48.4200,29.8138
47,20.3000,35.0000,1.8167,52.1300,30.2838
48,20.1056,34.9700,2.9167,48.9700,30.2838
49,20.5556,34.7700,4.4556,43.7700,30.2838
50,21.1167,34.4300,5.2944,41.0800,30.2838
51,21.4000,34.5300,5.4833,41.1200,30.4088
52,21.1667,34.7300,5.9222,40.2200,30.3775
53,21.0889,34.8800,6.4611,39.1700,30.4088
54,21.2278,35.4600,6.9556,37.3000,30.7513
55,21.4278,36.1200,7.5000,34.1000,30.8763
56,21.2444,36.1000,7.6500,32.4800,30.9075
57,21.1833,36.2700,7.3056,32.7900,30.8763
58,21.2667,36.2600,7.3056,32.7900,30.6888
59,21.5333,36.3800,8.5833,30.9500,30.5638
60,21.3056,36.4600,8.7778,29.7400,30.5638
61,21.3278,36.6000,9.0722,31.2300,30.5950
62,21.5000,36.7000,9.4556,31.7500,30.5950
63,21.6056,36.6500,9.5500,31.0600,35.1875
64,21.2722,36.7600,9.8056,32.6900,35.1563
65,21.2889,36.9800,10.6056,33.9700,35.1563
66,21.3722,37.1400,9.8444,36.8500,35.2513
67,21.5389,37.2400,9.8889,36.9900,35.3138
68,21.2778,37.4100,9.7167,36.0900,35.3138
69,20.9722,37.6100,9.2722,38.6900,35.3138
70,21.0778,37.8100,9.5278,40.2200,34.7513
71,21.2611,37.8900,9.4444,41.6100,40.3388
72,20.8278,38.0600,9.2778,38.1600,42.8075
73,20.6667,38.1400,8.8722,38.1600,42.8075
74,20.8556,39.0700,8.2278,44.3300,42.3700
75,20.9611,40.4300,7.3833,52.0500,42.4200
76,20.5722,39.6400,6.7056,54.8800,49.8575
77,20.3222,39.3000,6.1889,57.4400,49.8575
78,20.6722,39.3600,5.6944,61.3600,50.0450
79,20.8833,39.3500,5.1333,64.6700,49.9450
80,20.8056,39.0500,4.7222,65.3400,54.2900
81,20.5333,38.6500,4.2167,68.8600,54.2900
82,20.6111,38.8400,4.1333,69.3800,54.3200
83,20.7889,38.7900,4.3278,68.7700,54.6700
84,20.6167,38.9800,4.0833,69.9700,59.4825
85,20.2889,38.3900,4.1722,69.9100,59.4513
86,20.6333,38.4100,4.1167,70.2800,59.6713
87,20.9500,38.6600,4.1167,70.5300,59.8463
88,20.9889,38.8100,4.0944,70.3100,60.2213
89,20.5611,39.0900,4.2278,68.9000,60.2213
90,20.6556,38.8400,4.0278,72.0600,60.2513
91,20.7111,41.7200,4.1667,69.0800,60.1013
92,20.6000,41.1600,4.0944,70.3100,59.6013
93,20.2778,39.9300,4.0278,72.3500,59.6325
94,20.4444,39.8200,3.9833,73.1900,59.6325
95,20.7389,39.9800,3.9944,73.6800,59.5575
96,20.7556,40.1800,3.9889,75.2500,46.1825
1,20.3389,40.0400,3.9889,74.0300,46.1825
2,20.6222,39.9900,4.0389,71.2000,46.1825
3,21.1111,39.9800,4.1222,73.0100,46.3825
4,20.8556,40.0400,4.0222,75.2400,43.4125
5,20.3944,40.1700,4.1333,75.5000,43.4125
6,20.6500,40.4200,4.1056,75.0400,42.6325
7,20.9889,40.3800,4.0222,75.0400,35.5325
8,20.6778,40.3800,4.0278,76.5300,32.9700
9,20.5111,40.4200,4.0111,75.5100,32.9700
10,20.7889,40.2600,3.9500,78.6900,32.8750
11,20.9667,39.9000,3.6000,83.8000,32.7200
12,20.4833,40.0500,3.4389,87.4000,32.6888
13,20.2778,39.5700,3.2444,90.7000,32.6888
14,20.4944,39.6300,3.1444,91.7000,32.7838
15,20.7167,39.6100,3.0111,92.5000,28.5963
16,20.4167,39.5300,2.9556,93.5000,28.6275
17,20.3167,39.5200,2.9111,93.9000,28.6275
18,20.6889,39.5600,2.8167,94.4000,28.5325
19,21.0000,39.6000,2.8833,94.8000,28.3750
20,20.6056,39.6500,2.9389,95.0000,28.3750
21,20.5278,39.7300,3.0056,95.1000,28.3438
22,20.8056,39.7800,2.9167,95.0000,29.2513
23,20.9556,39.8500,2.9333,95.6000,30.0013
24,20.4278,40.0700,2.9056,95.9000,29.9700
25,20.3500,40.1600,2.8944,96.0000,30.0013
26,20.6444,40.0100,2.9000,96.1000,30.0638
27,20.8833,39.7300,2.8944,96.1000,34.7213
28,20.5222,39.7100,2.9111,96.1000,34.7213
29,20.5278,39.6900,2.8611,96.5000,34.7213
30,20.8500,39.6900,2.8167,96.5000,34.5013
31,21.0333,39.8600,2.7778,96.7000,38.6938
32,20.6444,39.6600,2.8389,96.7000,38.7250
33,20.5556,39.4300,2.8556,96.8000,38.6938
34,20.6667,39.3700,2.8611,96.9000,38.9763
35,20.7889,41.5000,2.8889,96.9000,41.1513
36,20.4167,41.5800,2.9167,96.8000,43.7463
37,20.2944,40.3800,2.9611,96.7000,43.7775
38,20.4056,40.1800,3.0611,96.6000,43.5275
39,20.7222,40.1200,3.1111,96.5000,36.8150
40,20.5056,40.2000,3.2000,96.8000,34.1888
41,20.2667,40.3700,3.5444,96.9000,34.1888
42,20.8444,40.3900,3.9500,96.5000,34.3138
43,21.1722,40.3100,4.1611,96.1000,26.4388
44,20.6778,40.3700,4.3556,95.7000,26.4388
45,20.5000,40.4700,4.6167,95.3000,26.4388
46,20.7722,40.5100,5.2111,94.8000,29.8813
47,20.7167,40.5300,5.5944,93.8000,29.6938
48,20.4556,40.5400,5.9278,93.1000,29.6938
49,20.4833,40.5000,6.7111,91.9000,29.6938
50,21.1278,40.5900,6.8944,90.8000,29.9938
51,21.0556,40.6800,7.0889,90.5000,29.8388
52,20.6167,40.7900,7.4278,89.3000,29.8388
53,20.5667,40.8200,7.5778,88.8000,29.8388
54,20.9278,41.4300,7.7611,88.7000,30.5888
55,20.9444,41.5600,7.9167,89.0000,30.5263
56,20.7278,41.5500,7.8056,89.1000,30.5263
57,20.7111,41.4100,7.8944,88.5000,30.5888
58,20.9944,41.2800,8.6889,86.6000,31.0138
59,21.0000,41.6100,8.8944,85.9000,30.8263
60,20.7111,41.8400,8.7889,86.4000,30.8263
61,20.6611,41.9000,9.0667,85.6000,30.9513
62,20.8833,41.8700,9.4500,83.5000,31.1263
63,20.7833,42.1100,9.7111,83.4000,35.5638
64,20.6167,41.7000,9.9500,82.0000,35.5638
65,20.6000,41.2900,9.7000,83.1000,35.7513
66,20.8944,41.3500,9.8167,83.0000,35.8763
67,20.8556,41.9000,10.1278,82.1000,35.7188
68,20.5611,41.6700,10.4500,80.1000,35.7188
69,20.6667,41.2100,10.6222,78.6200,35.9375
70,20.8722,41.6400,10.7111,78.8800,35.7875
71,20.8889,42.0300,10.5778,80.9000,44.6125
72,20.5556,41.8400,10.2611,82.7000,44.6438
73,20.5278,41.6900,9.9778,83.3000,44.6438
74,20.8611,42.2200,9.7611,84.2000,44.0438
75,20.9889,43.5700,9.6000,84.6000,46.0438
76,20.5611,43.2800,9.3444,85.0000,50.8563
77,20.3722,43.1400,9.0778,85.8000,51.2625
78,20.7778,43.1900,8.8389,86.9000,51.7125
79,20.9056,43.0600,8.5556,87.8000,52.1375
80,20.6667,42.9600,8.3111,88.9000,56.6375
81,20.4556,42.7700,7.9056,90.1000,56.7938
82,20.8611,42.4700,7.5444,91.3000,56.2938
83,20.9889,42.7800,7.5944,91.6000,55.8938
84,20.7944,42.8700,7.4611,91.7000,59.7688
85,20.5722,42.7200,7.3722,92.1000,59.8313
86,20.8222,42.8200,7.4222,92.6000,59.7063
87,20.9056,43.2200,7.5278,93.0000,59.5063
88,20.7500,43.3300,7.7056,93.4000,59.4438
89,20.5222,42.8400,7.6611,93.7000,59.6938
90,20.7833,42.7200,7.8056,93.7000,60.1438
91,20.7389,45.1000,7.6000,93.8000,60.5688
92,20.6333,45.1600,7.5833,94.1000,60.4763
93,20.3611,43.4500,7.6556,94.3000,60.7263
94,20.8389,42.4700,7.6444,94.5000,60.7013
95,20.9278,43.1400,7.3889,94.9000,59.9013
96,20.6944,43.3700,7.4056,95.2000,46.8688
1,20.3056,43.2600,7.3444,95.3000,47.1200
2,20.7333,43.4500,7.2778,95.4000,46.8200
3,20.8222,43.4300,7.2167,95.4000,43.4825
4,20.4056,43.3800,7.1389,95.6000,43.4513
5,20.2278,43.6500,7.2944,95.8000,43.1688
6,20.9611,43.6300,7.3778,95.8000,42.8688
7,21.0611,43.5300,7.1667,95.8000,33.6813
8,20.4722,43.6600,7.0056,95.9000,33.6813
9,20.4167,44.0000,7.0222,96.2000,33.9013
10,20.8722,43.7600,6.8778,96.2000,33.9013
11,20.9056,43.7200,6.8444,96.4000,33.9338
12,20.5167,43.7800,6.7722,96.4000,33.9650
13,20.5278,43.2300,7.1056,96.7000,33.8075
14,20.7333,43.3600,7.2667,96.7000,33.9075
15,20.5611,43.8700,7.0722,96.7000,29.4700
16,20.2333,43.1400,7.0111,96.8000,29.4700
17,20.1833,43.0700,6.9056,96.8000,29.4388
18,20.7278,43.1300,6.8278,96.9000,29.2638
19,20.7556,43.2800,6.7444,96.9000,29.2313
20,20.5722,43.1900,6.8667,97.0000,29.2313
21,20.7167,43.2600,6.8167,97.0000,29.3875
22,21.0333,43.4300,6.8611,97.0000,30.3125
23,20.7833,43.6200,6.8556,97.0000,30.5325
24,20.3722,43.3300,6.8556,97.1000,30.5325
25,20.2667,43.4800,6.9111,97.2000,30.6575
26,20.6833,43.3500,7.0667,97.1000,30.9325
27,20.6556,43.3000,7.4111,97.0000,35.7450
28,20.3889,43.4000,7.2111,96.9000,35.7138
29,20.3833,43.2700,7.8944,97.0000,35.5575
30,21.1722,43.4500,9.0500,96.4000,35.4325
31,21.0611,43.5400,9.1667,96.2000,39.9325
32,20.5444,43.8400,9.2111,96.2000,39.9638
33,20.4000,44.0400,9.4000,96.2000,39.9638
34,20.7722,44.4900,9.5333,96.2000,39.9138
35,20.8333,45.2900,9.5833,96.3000,44.6013
36,20.5611,45.7200,9.7111,96.2000,44.6013
37,20.4944,45.9300,9.7778,96.1000,44.5700
38,20.7778,45.7400,9.5889,96.1000,44.3450
39,20.8556,45.7400,9.5611,96.1000,34.8750
40,20.4000,45.2500,10.1222,96.4000,34.8750
41,20.3667,45.0400,10.5111,96.4000,35.0325
42,20.9389,45.2900,10.6500,96.3000,34.9325
43,20.6333,45.5100,11.6222,96.5000,30.3700
44,20.2944,45.5300,12.1222,96.2000,30.3700
45,20.2833,45.4500,11.9389,95.7000,30.3375
46,21.1611,45.7300,12.1167,95.7000,30.0875
47,20.8611,45.3900,12.0556,95.5000,30.0575
48,20.5556,45.4900,12.0889,95.4000,30.0575
49,20.4278,45.3800,12.4611,95.4000,29.9013
50,20.8500,45.5200,12.6889,95.2000,30.4763
51,20.7333,45.3300,12.7500,94.7000,30.5688
